"last_name","freq_count"
"Baba","226"
"Gelosh","223"
"Coorg","223"
"Sudbeck","222"
"Farris","222"
"Adachi","221"
"Osgood","220"
"Neiman","218"
"Masada","218"
"Mandell","218"
"Wendorf","217"
"Boudaillier","217"
"Solares","216"
"Mahnke","216"
"Cummings","216"
"Pettis","216"
"Kulisch","215"
"Emmart","215"
"Maksimenko","215"
"Birjandi","215"
"Collette","215"
"Rosaz","214"
"Boguraev","214"
"Pokrovskii","214"
"Scallan","214"
"Siksek","213"
"Morrey","213"
"Wolniewicz","213"
"Stifter","213"
"Peek","212"
"Siepmann","212"
"Herber","212"
"Rajcani","212"
"Garrabrants","212"
"Taubman","212"
"Rabehasaina","212"
"Swen","212"
"Pramanik","212"
"Barriga","211"
"Gente","211"
"Kitsuregawa","211"
"Asser","211"
"Ghemri","211"
"Ventosa","211"
"Kamber","211"
"Cangellaris","211"
"Redmiles","210"
"Luce","210"
"Schaaf","210"
"Driscoll","210"
"Bolsens","210"
"Gerlach","209"
"Lunt","209"
"Khasidashvili","209"
"Gewali","209"
"Chenney","209"
"Malabarba","209"
"Lamparter","209"
"Zuberek","209"
"Flowers","209"
"Serra","209"
"Panienski","208"
"Gecsei","208"
"Cesareni","208"
"Aloia","208"
"Jenevein","208"
"Lowrie","208"
"Garnier","207"
"Akazan","207"
"Angelopoulos","207"
"Lamba","207"
"Duclos","206"
"Braunmuhl","206"
"Bondorf","206"
"Chimia","206"
"Perng","206"
"Gaughan","206"
"Foote","206"
"Hebert","206"
"Panangaden","205"
"Shimshoni","205"
"Geffroy","205"
"Aamodt","205"
"Bennet","205"
"Emden","205"
"Siprelle","205"
"Lanphier","205"
"Marakhovsky","205"
"Garnham","205"
"Ponthieu","205"
"DeMori","205"
"Onuegbe","205"
"Ecklund","205"
"Matzov","205"
"Encarnacion","205"
"Desikan","204"
"Malinowski","204"
"Alpin","204"
"Luders","204"
"Legleitner","204"
"Shrader","204"
"Swick","204"
"Coors","204"
"Argence","204"
"Whitcomb","204"
"Linares","204"
"Shiratori","204"
"Riexinger","204"
"Tramer","203"
"Feinberg","203"
"Ramsay","203"
"Penttonen","203"
"Ghandeharizadeh","203"
"Champarnaud","203"
"Conta","203"
"Doering","203"
"Kirkerud","203"
"Lorho","203"
"Tetzlaff","203"
"Herbst","203"
"Ishibashi","203"
"Kilgour","202"
"Soicher","202"
"Schlegelmilch","202"
"Lubachevsky","202"
"Gihr","202"
"Kornyak","202"
"Thummel","202"
"Schapire","202"
"Yurek","202"
"Biran","202"
"Pews","202"
"Karnin","202"
"Bahl","201"
"Taneja","201"
"Kalorkoti","201"
"McConalogue","201"
"Kavanagh","201"
"Perez","201"
"Bernardeschi","201"
"Pelc","201"
"Stanfel","201"
"Mukaidono","201"
"Clouatre","201"
"Rouquie","201"
"Wynblatt","201"
"Genther","201"
"Morrow","201"
"Rusterholz","201"
"Schusler","201"
"Krybus","201"
"Erdi","201"
"Cooke","201"
"Brodie","201"
"Albarhamtoshy","201"
"Snedden","200"
"Lamma","200"
"Itzigehl","200"
"Nannarelli","200"
"Shumilov","200"
"Rosch","200"
"Hammerschmidt","200"
"Otillio","200"
"Taubenfeld","200"
"Mitzlaff","200"
"Gimbel","200"
"Iwayama","200"
"Hoppenstand","200"
"Schreiter","200"
"Domenig","200"
"Fargier","200"
"Gulik","200"
"Pfau","200"
"Beetstra","200"
"Auyong","200"
"Speek","200"
"Heystek","200"
"Hiroyama","200"
"Bugrara","200"
"Maraist","200"
"Lindenbaum","200"
"Kaelbling","200"
"Norsworthy","200"
"McClurg","200"
"Pocchiola","200"
"Radivojevic","200"
"Imataki","200"
"Sgarro","200"
"Dredge","200"
"Mawatari","199"
"Curless","199"
"Karner","199"
"Akaboshi","199"
"Brookner","199"
"Warwick","199"
"Servieres","199"
"Munawer","199"
"Speckmann","199"
"Rassart","199"
"Maierhofer","199"
"Zaumen","199"
"Merks","199"
"Hofman","199"
"Hitomi","199"
"Skafidas","199"
"Michaels","199"
"Slobodova","199"
"Gammage","199"
"Tiemann","199"
"Fortenbacher","199"
"Hettesheimer","199"
"Kawashima","199"
"Muchinsky","199"
"Sridhar","199"
"Neimat","199"
"Bhattacharjee","198"
"Parveen","198"
"Hiyoshi","198"
"Matzen","198"
"Lalonde","198"
"McFarlin","198"
"Katiyar","198"
"Stanger","198"
"Piveteau","198"
"Pashtan","198"
"Vigier","198"
"Khamsi","198"
"Zallocco","198"
"Landherr","198"
"Bednarek","198"
"Ghazalie","198"
"Chinin","198"
"Schiper","198"
"Picco","198"
"Poupard","198"
